"","School.URN","School.Name","Year.6.count.NCMP","Any.other.ethnic.group","Asian","Black","Chinese","Mixed","Not.stated","White","Ethinicity..not.provided","Pupil.Index.Of.Multiple.Deprivation.Score","Pupil.Index.Of.Multiple.Deprivation.Decile","Very.Overweight.Prevalance...."
"33",145346,"School_33","6","","","","","","","6","",24.59,3,"0.0%"
"34",113241,"School_34","62","","","","","*","*","60","",5.01,2,"21.0%"
"35",136492,"School_35","32","","","","","*","","28","",18.67,3,"12.5%"
"36",113347,"School_36","6","","","","","","","6","",5.64,4,"0.0%"
"37",113348,"School_37","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",8.93,8,"0.0%"
"38",145809,"School_38","10","","","","","*","","9","",16.36,1,"0.0%"
"39",141761,"School_39","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",25.2,3,"0.0%"
"40",145331,"School_40","10","","","","","","","10","",15.67,4,"10.0%"
"41",145342,"School_41","7","","","","","","","7","",22.33,3,"14.3%"
"42",142044,"School_42","51","","","","","*","","47","*",3.07,3,"2.0%"
"43",136280,"School_43","64","","*","","","5","*","56","",4.11,2,"9.4%"
"44",113349,"School_44","6","","","","","","","6","",12.11,6,"16.7%"
"45",147493,"School_45","6","","","","","","","6","",13.22,5,"0.0%"
"46",136562,"School_46","25","","","","","*","","24","",10.01,4,"4.0%"
"47",113141,"School_47","7","","","","","","","7","",9.65,4,"14.3%"
"48",149055,"School_48","10","","","","","","","10","",17.41,5,"20.0%"
"49",113138,"School_49","56","","*","","","6","","49","",7.02,2,"8.9%"
"50",113245,"School_50","48","","","","","","*","47","",5.01,2,"6.3%"
"51",113340,"School_51","47","*","","*","","","","45","",9.63,3,"12.8%"
"52",145338,"School_52","29","","","","","*","*","24","",13.14,4,"17.2%"
"53",144073,"School_53","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",14.07,6,"0.0%"
"54",145397,"School_54","8","","","","","","","8","",17.06,4,"12.5%"
"55",113064,"School_55","14","","","","*","*","","12","",18.33,4,"14.3%"
"56",138733,"School_56","10","","","","","*","","9","",11.77,6,"0.0%"
"57",113392,"School_57","71","","","","","*","","69","*",4.08,5,"4.2%"
"58",137666,"School_58","16","","","","","*","","15","",4.84,3,"6.3%"
"59",137023,"School_59","28","","","","","*","*","24","*",13.89,2,"3.6%"
"60",147492,"School_60","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",25.04,3,"0.0%"
"61",134641,"School_61","45","","*","","","","","42","*",4.11,5,"13.3%"
"62",113065,"School_62","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",7.02,6,"25.0%"
"63",113066,"School_63","29","","","","","","","29","",4.11,5,"6.9%"
"64",145766,"School_64","16","","","","","","","16","",11.31,3,"18.8%"
"65",148011,"School_65","28","","*","","","*","","23","",8.45,5,"3.6%"
"66",145764,"School_66","16","","","","","","","16","",16.36,4,"6.3%"
"67",113068,"School_67","25","*","","","","","*","23","",15.97,4,"0.0%"
"68",113409,"School_68","15","","","","","","","15","",10.02,4,"13.3%"
"69",113079,"School_69","21","*","","*","","","","17","*",6.28,3,"14.3%"
"70",141514,"School_70","59","*","","","*","*","6","42","*",13.68,3,"6.8%"
"71",113071,"School_71","12","","","","","","","12","",11.19,5,"0.0%"
"72",148490,"School_72","42","*","","","","*","*","35","",9.87,4,"4.8%"
"73",136200,"School_73","25","","*","","","","","24","",4.27,3,"20.0%"
"74",113209,"School_74","58","","","","","*","*","56","",5.23,2,"6.9%"
"75",113197,"School_75","13","","","","","","","13","",6.77,3,"7.7%"
"76",142652,"School_76","10","","","","","","","10","",12.14,5,"0.0%"
"77",113198,"School_77","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",14.83,6,"0.0%"
"78",145770,"School_78","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",22.75,4,"100.0%"
"79",147495,"School_79","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",7.51,6,"0.0%"
"80",145347,"School_80","8","","","","","","","8","",11.77,4,"12.5%"
"81",141287,"School_81","12","","","","","","","12","",17.07,6,"8.3%"
"82",113146,"School_82","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",26.83,3,"0.0%"
"83",137025,"School_83","8","","","","","","","8","",17.69,4,"12.5%"
"84",113130,"School_84","60","","","","","","8","52","",16.94,2,"10.0%"
"85",146096,"School_85","21","","*","","","*","","19","",8.83,1,"28.6%"
"86",148871,"School_86","21","","","","","","","20","*",5.42,5,"9.5%"
"87",145339,"School_87","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",15.97,4,"40.0%"
"88",113095,"School_88","29","*","*","","*","","","26","",3.07,4,"27.6%"
"89",113201,"School_89","79","","","","","*","*","74","*",4.18,2,"8.9%"
"90",144072,"School_90","73","*","*","*","","*","","67","",3.7,2,"11.0%"
"91",113433,"School_91","29","","","","","","","29","",5.96,5,"13.8%"
"92",113148,"School_92","13","","","","","","","13","",13.89,3,"15.4%"
"93",148019,"School_93","58","","","","*","*","","56","",8.83,1,"15.5%"
"94",141353,"School_94","52","","","","*","*","","50","",7.42,2,"19.2%"
"95",113375,"School_95","17","","","","","","*","14","*",7.02,7,"17.6%"
"96",113376,"School_96","11","","","","","","","11","",10.49,1,"18.2%"
"97",113377,"School_97","73","","*","","","*","","69","",8.73,2,"20.5%"
"98",149729,"School_98","9","","","","","","","9","",6.05,4,"11.1%"
"99",113338,"School_99","6","","","","","*","","*","",9.63,6,"0.0%"
"100",113151,"School_100","17","","","","","","","15","*",21.28,4,"17.6%"
"101",142707,"School_101","15","","","","","","","15","",16.17,6,"0.0%"
"102",113152,"School_102","20","","","","","","","20","",22.22,4,"15.0%"
"103",113251,"School_103","32","","","","","*","","31","",21.28,4,"3.1%"
"104",143187,"School_104","8","","","","","*","","7","",10.4,5,"12.5%"
"105",133893,"School_105","30","","*","","","*","","28","",12.97,2,"13.3%"
"106",113069,"School_106","53","","*","","","","","51","*",6.4,4,"13.2%"
"107",113224,"School_107","63","*","","","*","*","","60","",5.85,2,"7.9%"
"108",113343,"School_108","52","","","*","","*","","50","",9.63,3,"9.6%"
"109",137654,"School_109","33","","","","","*","","32","",11.19,2,"9.1%"
